Name,Image URL,Image Local Path
云剑·探云,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/云剑·探云_1级.png,media\云剑·探云_1级.png
云剑·飞刺,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/云剑·飞刺_1级.png,media\云剑·飞刺_1级.png
云剑·厚土,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/云剑·厚土_1级.png,media\云剑·厚土_1级.png
云剑·回守,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/云剑·回守_1级.png,media\云剑·回守_1级.png
云剑·极意,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/云剑·极意_1级.png,media\云剑·极意_1级.png
云剑·无锋,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/云剑·无锋_1级.png,media\云剑·无锋_1级.png
云剑·无妄,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/云剑·无妄_1级.png,media\云剑·无妄_1级.png
云剑·点星,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/云剑·点星_1级.png,media\云剑·点星_1级.png
云剑·汇灵,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/云剑·汇灵_1级.png,media\云剑·汇灵_1级.png
云剑·闪风,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/云剑·闪风_1级.png,media\云剑·闪风_1级.png
云剑·月影,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/云剑·月影_1级.png,media\云剑·月影_1级.png
云剑·游龙,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/云剑·游龙_1级.png,media\云剑·游龙_1级.png
云剑·凌波,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/云剑·凌波_1级.png,media\云剑·凌波_1级.png
轻剑,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/轻剑_1级.png,media\轻剑_1级.png
护身灵气,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/护身灵气_1级.png,media\护身灵气_1级.png
灵气灌注,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/灵气灌注_1级.png,media\灵气灌注_1级.png
巨虎灵剑,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/巨虎灵剑_1级.png,media\巨虎灵剑_1级.png
震雷剑,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/震雷剑_1级.png,media\震雷剑_1级.png
剑劈,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/剑劈_1级.png,media\剑劈_1级.png
剑挡,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/剑挡_1级.png,media\剑挡_1级.png
飞牙剑,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/飞牙剑_1级.png,media\飞牙剑_1级.png
骤风剑,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/骤风剑_1级.png,media\骤风剑_1级.png
化灵诀,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/化灵诀_1级.png,media\化灵诀_1级.png
引气剑,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/引气剑_1级.png,media\引气剑_1级.png
巨鲸灵剑,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/巨鲸灵剑_1级.png,media\巨鲸灵剑_1级.png
凝意诀,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/凝意诀_1级.png,media\凝意诀_1级.png
灵犀剑阵,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/灵犀剑阵_1级.png,media\灵犀剑阵_1级.png
地煞剑,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/地煞剑_1级.png,media\地煞剑_1级.png
形意剑,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/形意剑_1级.png,media\形意剑_1级.png
柔云心法,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/柔云心法_1级.png,media\柔云心法_1级.png
云舞诀,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/云舞诀_1级.png,media\云舞诀_1级.png
暗鸦灵剑,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/暗鸦灵剑_1级.png,media\暗鸦灵剑_1级.png
破气剑,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/破气剑_1级.png,media\破气剑_1级.png
巨鹏灵剑,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/巨鹏灵剑_1级.png,media\巨鹏灵剑_1级.png
反身剑,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/反身剑_1级.png,media\反身剑_1级.png
镜花剑阵,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/镜花剑阵_1级.png,media\镜花剑阵_1级.png
三峰剑,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/三峰剑_1级.png,media\三峰剑_1级.png
聚灵心法,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/聚灵心法_1级.png,media\聚灵心法_1级.png
白鹭灵剑,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/白鹭灵剑_1级.png,media\白鹭灵剑_1级.png
巨鲲灵剑,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/巨鲲灵剑_1级.png,media\巨鲲灵剑_1级.png
灵感剑,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/灵感剑_1级.png,media\灵感剑_1级.png
流云乱剑,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/流云乱剑_1级.png,media\流云乱剑_1级.png
水月剑阵,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/水月剑阵_1级.png,media\水月剑阵_1级.png
飞灵闪影剑,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/飞灵闪影剑_1级.png,media\飞灵闪影剑_1级.png
剑意激荡,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/剑意激荡_1级.png,media\剑意激荡_1级.png
御空剑阵,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/御空剑阵_1级.png,media\御空剑阵_1级.png
连环剑阵,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/连环剑阵_1级.png,media\连环剑阵_1级.png
狂剑·一式,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/狂剑·一式_1级.png,media\狂剑·一式_1级.png
狂剑·二式,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/狂剑·二式_1级.png,media\狂剑·二式_1级.png
狂剑·零式,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/狂剑·零式_1级.png,media\狂剑·零式_1级.png
勤拙剑,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/勤拙剑_1级.png,media\勤拙剑_1级.png
韵灵剑,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/韵灵剑_1级.png,media\韵灵剑_1级.png
斗转星移,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/斗转星移_1级.png,media\斗转星移_1级.png
星罗棋布,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/星罗棋布_1级.png,media\星罗棋布_1级.png
星弈·挡,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/星弈·挡_1级.png,media\星弈·挡_1级.png
星弈·夹,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/星弈·夹_1级.png,media\星弈·夹_1级.png
震卦,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/震卦_1级.png,media\震卦_1级.png
坤卦,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/坤卦_1级.png,media\坤卦_1级.png
巽卦,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/巽卦_1级.png,media\巽卦_1级.png
掌心雷,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/掌心雷_1级.png,media\掌心雷_1级.png
白鹤亮翅,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/白鹤亮翅_1级.png,media\白鹤亮翅_1级.png
揽雀尾,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/揽雀尾_1级.png,media\揽雀尾_1级.png
野马分鬃,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/野马分鬃_1级.png,media\野马分鬃_1级.png
藕断丝连,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/藕断丝连_1级.png,media\藕断丝连_1级.png
飞星刺,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/飞星刺_1级.png,media\飞星刺_1级.png
星弈·点,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/星弈·点_1级.png,media\星弈·点_1级.png
星弈·立,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/星弈·立_1级.png,media\星弈·立_1级.png
艮卦,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/艮卦_1级.png,media\艮卦_1级.png
坎卦,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/坎卦_1级.png,media\坎卦_1级.png
落雷术,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/落雷术_1级.png,media\落雷术_1级.png
斩草除根,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/斩草除根_1级.png,media\斩草除根_1级.png
金鸡独立,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/金鸡独立_1级.png,media\金鸡独立_1级.png
静气心法,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/静气心法_1级.png,media\静气心法_1级.png
落花有意,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/落花有意_1级.png,media\落花有意_1级.png
气贯长虹,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/气贯长虹_1级.png,media\气贯长虹_1级.png
众星拱月,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/众星拱月_1级.png,media\众星拱月_1级.png
星弈·打,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/星弈·打_1级.png,media\星弈·打_1级.png
兑卦,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/兑卦_1级.png,media\兑卦_1级.png
白蛇吐信,https://pic.iyingdi.com/yingdiimg/gadgets/yixian/card/白蛇吐信_1级.png,media\白蛇吐信_1级.png
